DATE,FPCPITOTLZGCAN
1960-01-01,1.35869565217392
1961-01-01,1.01876675603211
1962-01-01,1.06157112526535
1963-01-01,1.62815126050428
1964-01-01,1.91214470284237
1965-01-01,2.33265720081135
1966-01-01,3.81565906838453
1967-01-01,3.57995226730312
1968-01-01,4.05529953917047
1969-01-01,4.56155890168292
1970-01-01,3.34603981363832
1971-01-01,2.70491803278685
1972-01-01,4.98802873104551
1973-01-01,7.48764728240211
1974-01-01,10.997171145686
1975-01-01,10.672188595094
1976-01-01,7.54173862982148
1977-01-01,7.9764453961457
1978-01-01,8.97372335151214
1979-01-01,9.14467697907181
1980-01-01,10.1292205085453
1981-01-01,12.4716124148372
1982-01-01,10.7689718997139
1983-01-01,5.86358802977368
1984-01-01,4.30477830391737
1985-01-01,3.96203054065205
1986-01-01,4.19478629085621
1987-01-01,4.3561087122174
1988-01-01,4.02823414871611
1989-01-01,4.98362189985958
1990-01-01,4.78047693336304
1991-01-01,5.62586408593005
1992-01-01,1.49013290374545
1993-01-01,1.86507936507939
1994-01-01,0.165562913907291
1995-01-01,2.14876033057849
1996-01-01,1.57053112507138
1997-01-01,1.62121638084531
1998-01-01,0.99594245665802
1999-01-01,1.73484295105919
2000-01-01,2.71943995691976
2001-01-01,2.52512013979906
2002-01-01,2.25839440940855
2003-01-01,2.75856321360112
2004-01-01,1.85725871857256
2005-01-01,2.21355203439767
2006-01-01,2.00202539534161
2007-01-01,2.13838399266837
2008-01-01,2.37027067444299
2009-01-01,0.299466803009299
2010-01-01,1.77687154092627
2011-01-01,2.91213508872351
2012-01-01,1.51567823124517
2013-01-01,0.938291897815317
2014-01-01,1.90663590717861
2015-01-01,1.12524136094277
2016-01-01,1.42875954701085
2017-01-01,1.59688412852977
2018-01-01,2.26822567248103
2019-01-01,1.94926902411593
2020-01-01,0.716999632307827
2021-01-01,3.39519318527528
2022-01-01,6.80280115341613
